City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lon,Max Temp,Max Temp K,Wind Speed
0,Ayagoz,48,KZ,1593139265,41,47.97,80.44,73,296.06,2.13
1,Vestmannaeyjar,100,IS,1593139483,82,63.44,-20.27,51,283.68,3.25
2,Puerto Ayora,35,EC,1593139483,93,-0.74,-90.35,70,294.26,3.15
3,Rikitea,29,PF,1593139483,85,-23.12,-134.97,75,297.3,11.04
4,Quebo,84,GW,1593139484,92,11.33,-14.93,77,298.0,1.46
5,Zhigansk,36,RU,1593139484,42,66.77,123.37,77,298.04,1.67
6,Kapaa,40,US,1593139484,70,22.08,-159.32,84,302.15,6.2
7,Turaif,0,SA,1593139484,56,31.67,38.66,68,293.15,4.1
8,Berlevåg,44,NO,1593139485,74,70.86,29.09,50,283.27,11.53
9,Praia,20,CV,1593139485,78,14.92,-23.51,75,297.15,5.1
10,Carndonagh,100,IE,1593139485,93,55.25,-7.27,59,288.38,1.73
11,San Cristobal,67,VE,1593139485,85,7.77,-72.22,65,291.64,1.5
12,Albany,6,US,1593139339,94,42.6,-73.97,69,293.71,1.39
13,Souillac,40,MU,1593139486,78,-20.52,57.52,72,295.15,6.2
14,Ust-Tsilma,99,RU,1593139486,80,65.44,52.15,43,279.46,3.08
15,Chernyshevskiy,0,RU,1593139486,39,63.01,112.47,77,298.28,1.74
16,Port Elizabeth,2,ZA,1593139486,93,-33.92,25.57,59,288.15,3.6
17,Ostrovnoy,100,RU,1593139486,90,68.05,39.51,50,282.93,3.5
18,Vaini,20,TO,1593139486,74,-21.2,-175.2,81,300.15,3.6
19,Chokurdakh,34,RU,1593139487,37,70.63,147.92,60,288.62,5.77
20,Cape Town,75,ZA,1593139358,87,-33.93,18.42,57,287.04,3.1
21,Ixtapa,90,MX,1593139487,74,20.7,-105.2,84,302.15,1.5
22,Makakilo City,40,US,1593139487,55,21.35,-158.09,88,304.15,3.6
23,Sunrise Manor,1,US,1593139487,7,36.21,-115.07,104,313.15,7.2
24,Punta Arenas,21,CL,1593139488,92,-53.15,-70.92,27,270.15,3.1
25,Vanimo,74,PG,1593139488,58,-2.67,141.3,88,304.27,5.17
26,Coruripe,0,BR,1593139223,84,-10.13,-36.18,74,296.6,4.25
27,Bedford,86,GB,1593139387,85,52.13,-0.47,64,290.93,1.75
28,Hobart,20,AU,1593139461,58,-42.88,147.33,50,283.15,1.5
29,Ushuaia,20,AR,1593139488,74,-54.8,-68.3,36,275.15,9.3
30,Atuona,30,PF,1593139489,77,-9.8,-139.03,80,299.69,6.41
31,Provideniya,40,RU,1593139489,65,64.38,-173.3,46,281.15,8.0
32,Port Alfred,98,ZA,1593139489,90,-33.59,26.89,63,290.37,1.79
33,Half Moon Bay,90,US,1593139329,87,37.46,-122.43,72,295.37,3.6
34,Rohru,0,IN,1593139489,62,31.22,77.75,70,294.14,1.69
35,Avera,1,US,1593139200,86,33.19,-82.53,75,297.15,2.6
36,Rørvik,25,NO,1593139490,78,64.86,11.24,57,286.9,3.36
37,Castro,100,BR,1593139490,96,-24.79,-50.01,59,288.09,1.59
38,Lebu,99,CL,1593139490,86,-37.62,-73.65,46,281.15,5.18
39,Amapá,29,BR,1593139490,98,1.0,-52.0,71,294.87,0.59
40,Mataura,99,NZ,1593139490,71,-46.19,168.86,48,282.09,1.31
41,Umm Kaddadah,79,SD,1593139491,47,13.6,26.69,84,301.86,5.91
42,Nola,0,IT,1593139491,77,40.92,14.53,70,294.15,1.5
43,Qaanaaq,21,GL,1593139491,85,77.48,-69.36,35,275.07,1.11
44,Madera,65,US,1593139491,29,37.17,-119.83,93,307.04,0.45
45,Conde,100,BR,1593139491,90,-7.26,-34.91,74,296.27,3.79
46,Lata,89,PT,1593139491,84,40.16,-8.33,63,290.37,1.87
47,Isangel,87,VU,1593139491,79,-19.55,169.27,74,296.71,7.36
48,George Town,20,MY,1593139351,79,5.41,100.34,84,302.15,2.6
49,Kamaishi,75,JP,1593139492,100,39.27,141.88,64,291.15,1.5
50,Norman Wells,75,CA,1593139492,59,65.28,-126.83,64,291.15,4.6
51,Yellowknife,40,CA,1593139492,55,62.46,-114.35,64,290.93,3.6
52,Hithadhoo,49,MV,1593139492,74,-0.6,73.08,84,302.2,4.65
53,Montevideo,40,UY,1593139444,70,-34.83,-56.17,49,282.59,5.7
54,Kumul,100,CN,1593139493,20,42.8,93.45,86,302.9,3.15
55,Nikolskoye,5,RU,1593139493,72,59.7,30.79,64,291.15,1.0
56,Hermanus,68,ZA,1593139493,90,-34.42,19.23,53,284.82,1.34
57,Cherskiy,7,RU,1593139493,55,68.75,161.3,51,283.66,11.68
58,Bilma,0,NE,1593139493,15,18.69,12.92,84,301.85,2.48
59,Yar-Sale,100,RU,1593139493,73,66.83,70.83,53,284.62,5.53
60,Saint Paul Harbor,90,US,1593139494,81,57.79,-152.41,52,284.15,5.7
61,Sur,0,OM,1593139494,67,22.57,59.53,86,303.27,4.0
62,Belmonte,40,BR,1593139455,88,-15.86,-38.88,70,294.15,1.0
63,Busselton,8,AU,1593139494,72,-33.65,115.33,61,289.26,8.26
64,Mossamedes,0,AO,1593139494,69,-15.2,12.15,65,291.54,1.75
65,Kununurra,9,AU,1593139494,16,-15.77,128.73,77,298.15,4.6
66,Gizo Government Station,44,SB,1593139495,77,-8.1,156.84,84,301.78,6.08
67,Camacha,40,PT,1593139495,68,33.08,-16.33,66,292.15,4.6
68,Hobyo,46,SO,1593139495,74,5.35,48.53,79,299.27,8.61
69,Torbay,90,CA,1593139495,100,47.67,-52.73,67,292.59,8.7
70,Ust-Maya,8,RU,1593139495,33,60.42,134.53,81,300.5,1.9
71,Khovd,100,MN,1593139496,51,48.01,91.64,63,290.49,3.63
72,Huangnihe,100,CN,1593139496,96,43.56,128.02,58,287.81,1.87
73,Jamestown,1,US,1593139291,77,42.1,-79.24,63,290.15,3.6
74,Doha,0,QA,1593139320,41,25.29,51.53,93,307.15,5.1
